Year,Field-Location,State,City,Plot length (center-center in feet),Plot area (ft2),Alley length (in inches),Row spacing (in inches),Rows per plot,# Seed per plot,Experiment,Pedigree,Family,Tester,Replicate,Block,Plot,Plot_ID,Range,Pass,Date Plot Planted [MM/DD/YY],Date Plot Harvested [MM/DD/YY],Anthesis [MM/DD/YY],Silking [MM/DD/YY],Anthesis [days],Silking [days],Plant Height [cm],Ear Height [cm],Stand Count [# of plants],Root Lodging [# of plants],Stalk Lodging [# of plants],Grain Moisture [%],Test Weight [lbs],Plot Weight [lbs],Grain Yield (bu/A),Plot Discarded [enter 'yes' or blank],Comments,Filler,Snap [# of plants]
2023,COH1,CO,Fort Collins,20,85,36,30,2,80,HIP_Hybrid,B73/PHN82,HIPS,,1,1,177,G2F23500045,1,1,5/24/2023,11/7/2023,8/29/2023,8/29/2023,97,97,,,35,,,25.1,51.3,26.9,218.2017891,,Full irrigation,,
2023,COH1,CO,Fort Collins,20,85,36,30,2,80,HIP_Hybrid,LH244/MO17,HIPS,,1,1,178,G2F23500046,2,1,5/24/2023,11/7/2023,8/29/2023,8/29/2023,97,97,,,29,,,25.5,48.9,24.8,200.0931232,,Full irrigation,,
2023,COH1,CO,Fort Collins,20,85,36,30,2,80,HIP_Hybrid,PHG29/PHG47,HIPS,,1,1,179,G2F23500047,3,1,5/24/2023,11/7/2023,8/10/2023,8/10/2023,78,78,,,38,,,16.2,56.7,28.8,261.3729959,,Full irrigation,,
2023,COH1,CO,Fort Collins,20,85,36,30,2,80,HIP_Hybrid,PHB47/MO17,HIPS,,1,1,180,G2F23500048,4,1,5/24/2023,11/7/2023,8/10/2023,8/10/2023,78,78,,,36,,,20.1,52.2,24.1,208.5393576,,Full irrigation,,
2023,COH1,CO,Fort Collins,20,85,36,30,2,80,HIP_Hybrid,LH195/PHN82,HIPS,,1,1,181,G2F23500049,5,1,5/24/2023,11/7/2023,8/29/2023,8/29/2023,97,97,,,39,,,28,48.4,27.4,213.6521506,,Full irrigation,,
2023,COH1,CO,Fort Collins,20,85,36,30,2,80,HIP_Hybrid,PHJ89/PH207,HIPS,,1,1,182,G2F23500050,6,1,5/24/2023,11/7/2023,8/10/2023,8/10/2023,78,78,,,34,,,24.7,53,27.6,225.0755228,,Full irrigation,,
2023,COH1,CO,Fort Collins,20,85,36,30,2,80,HIP_Hybrid,LH244/PHZ51,HIPS,,1,1,183,G2F23500051,7,1,5/24/2023,11/7/2023,8/29/2023,8/29/2023,97,97,,,35,,,25.3,51.7,18.8,152.0907006,,Full irrigation,,
2023,COH1,CO,Fort Collins,20,85,36,30,2,80,HIP_Hybrid,B73/PHZ51,HIPS,,1,1,184,G2F23500052,8,1,5/24/2023,11/7/2023,8/29/2023,8/29/2023,97,97,,,36,,,24.8,51.6,21.9,178.3553598,,Full irrigation,,
2023,COH1,CO,Fort Collins,20,85,36,30,2,80,HIP_Hybrid,PHJ40/PHAJ0,HIPS,,1,1,185,G2F23500053,9,1,5/24/2023,11/7/2023,8/24/2023,8/10/2023,92,78,,,36,,,19.6,56.9,18.6,161.9545681,,Full irrigation,,
2023,COH1,CO,Fort Collins,20,85,36,30,2,80,HIP_Hybrid,PHB47/PHN82,HIPS,,1,1,186,G2F23500054,10,1,5/24/2023,11/7/2023,8/10/2023,8/29/2023,78,97,,,34,,,20.9,53.8,25.2,215.8744448,,Full irrigation,,
