Year,Field-Location,State,City,Plot length (center-center in feet),Plot area (ft2),Alley length (in inches),Row spacing (in inches),Rows per plot,# Seed per plot,Experiment,Pedigree,Family,Replicate,Block,Anthesis [days],Silking [days],Plant Height [cm],Ear Height [cm],Stand Count [# of plants],Root Lodging [# of plants],Stalk Lodging [# of plants],Grain Moisture [%],Test Weight [lbs],Plot Weight [lbs],Grain Yield (bu/A)
2023,COH1,CO,Fort Collins,20.0,85.0,36,30,2,80,HIP_Hybrid,B73/PHN82,HIPS,1,1,97.0,97.0,235.0,104.0,35.0,0.0,0.0,25.1,51.3,26.9,218.2017891
2023,COH1,CO,Fort Collins,20.0,85.0,36,30,2,80,HIP_Hybrid,LH244/MO17,HIPS,1,1,97.0,97.0,235.0,104.0,29.0,0.0,0.0,25.5,48.9,24.8,200.0931232
2023,COH1,CO,Fort Collins,20.0,85.0,36,30,2,80,HIP_Hybrid,PHG29/PHG47,HIPS,1,1,78.0,78.0,235.0,104.0,38.0,0.0,0.0,16.2,56.7,28.8,261.3729959
2023,COH1,CO,Fort Collins,20.0,85.0,36,30,2,80,HIP_Hybrid,PHB47/MO17,HIPS,1,1,78.0,78.0,235.0,104.0,36.0,0.0,0.0,20.1,52.2,24.1,208.5393576
2023,COH1,CO,Fort Collins,20.0,85.0,36,30,2,80,HIP_Hybrid,LH195/PHN82,HIPS,1,1,97.0,97.0,235.0,104.0,39.0,0.0,0.0,28.0,48.4,27.4,213.6521506
2023,COH1,CO,Fort Collins,20.0,85.0,36,30,2,80,HIP_Hybrid,PHJ89/PH207,HIPS,1,1,78.0,78.0,235.0,104.0,34.0,0.0,0.0,24.7,53.0,27.6,225.0755228
2023,COH1,CO,Fort Collins,20.0,85.0,36,30,2,80,HIP_Hybrid,LH244/PHZ51,HIPS,1,1,97.0,97.0,235.0,104.0,35.0,0.0,0.0,25.3,51.7,18.8,152.0907006
2023,COH1,CO,Fort Collins,20.0,85.0,36,30,2,80,HIP_Hybrid,B73/PHZ51,HIPS,1,1,97.0,97.0,235.0,104.0,36.0,0.0,0.0,24.8,51.6,21.9,178.3553598
2023,COH1,CO,Fort Collins,20.0,85.0,36,30,2,80,HIP_Hybrid,PHJ40/PHAJ0,HIPS,1,1,92.0,78.0,235.0,104.0,36.0,0.0,0.0,19.6,56.9,18.6,161.9545681
2023,COH1,CO,Fort Collins,20.0,85.0,36,30,2,80,HIP_Hybrid,PHB47/PHN82,HIPS,1,1,78.0,97.0,235.0,104.0,34.0,0.0,0.0,20.9,53.8,25.2,215.8744448
